Column1,Column2,Column1_emo,Column2_emo
내가 힘든 게 많다,힘들 때 옆에 있어주고 싶네요.,sadness,neutral
내기해서 이겼는데 소원 뭐하지,소원을 말해보세요.,angry,neutral
내년에는 더 행복해질려고 이렇게 힘든가봅니다,행복은 마음에서 우러나오는 거예요.,sadness,neutral
내마음을 모르겠어.,잘 모르겠어요.,sadness,neutral
내사랑은 어디 있나,사랑하고 있어요.,neutral,sadness
내아파트 갖고 싶어.,집 마련 해보세요.,neutral,neutral
내일 기대하게 되네,좋은 소식이네요.,neutral,neutral
내일 기숙사 들어가,좋은 시간 보내세요.,neutral,neutral
내일 날씨 어때?,날씨 좋으면 좋겠네요.,neutral,neutral
내일 날씨 좋을까?,날씨 좋으면 좋겠네요.,neutral,neutral
내일 떨린다,떨리네요.,sadness,sadness
내일 만나자고 데쉬?,좋은 소식이네요.,neutral,neutral
내일 만나자고 해볼까?,좋은 생각이에요.,neutral,neutral
내일 모의고사 본다,긴장되겠네요.,neutral,neutral
내일 모의평가다,긴장되겠네요.,sadness,neutral
내일 발표 나는데 떨려,잘할 수 있을 거예요.,fear,neutral
내일 발표 준비 아자아자,좋은 결과 있을 거예요.,neutral,neutral
내일 발표 준비하고 있어,잘 될 거예요.,sadness,neutral
내일 발표인데 떨려,잘할 수 있을 거예요.,fear,neutral
내일 비왔으면,우산 챙기세요.,neutral,sadness
내일 소풍간다,좋은 추억 만드세요.,angry,neutral
내일 수학여행가!,좋은 추억 만드세요.,neutral,neutral
내일 시험이야,긴장되겠네요.,neutral,neutral
내일 약속 있는데 날씨 좋았으면,날씨 좋으면 좋겠네요.,sadness,neutral
내일 일찍 일어나야 돼,일찍 일어나는 게 건강에 좋아요.,sadness,neutral
내일 친구랑 놀까?,같이 놀 수 있는 곳이 좋을 것 같아요.,neutral,neutral
내일 클스마스 이브네.,클스마스 이브가 될 거예요.,neutral,neutral
내일 하루 종일 바빠,바쁜가봐요.,sadness,sadness
내일은 기다리던 소풍 간다,좋은 추억 만드세요.,angry,neutral
내일은 비왔으면 좋겠다.,우산 챙기세요.,neutral,sadness
내일은 친구들랑 놀까?,같이 놀 수 있는 곳이 좋을 것 같아요.,neutral,neutral
내일이 기대돼,좋은 소식이네요.,neutral,neutral
내일이면 크리스마스 이브네.,크리스마스도 다가오네요.,neutral,sadness
내장 비만,운동해보세요.,sadness,neutral
낼 데이트하기로했는데 날씨 좋았으면,날씨 좋으면 데이트 가죠.,sadness,neutral
낼 바쁘넹,바쁘게 지내세요.,neutral,neutral
냄새 나면 어쩌지?,냄새나는 걸 참는 연습을 해보세요.,disgust,disgust
냄새나면 어쩌지,냄새나는 걸 참는 연습을 해보세요.,disgust,disgust
냄새날 것 같아 걱정이야,냄새나는 걸 참는 연습을 해보세요.,disgust,disgust
냉면 땡긴다,맛있게 드세요.,neutral,neutral
냉방비 너무 많이 나와,냉방용품은 적당히 챙겨드세요.,sadness,neutral
냉방비 장난 아님,냉방비 절약하세요.,neutral,neutral
냉장고 털어도 먹을게 없네,냉장고랑 같이 사세요.,sadness,neutral
냉장고가 텅비었어,냉장고 속 온도를 확인해보세요.,sadness,neutral
냉장고에 김치도 없네,냉장고에 있는 게 더 맛있어요.,sadness,neutral
냉장고에 먹을 게 없네,냉장고에 있는 게 좋죠.,sadness,neutral
냉장고에 먹을 게 하나도 없네,냉장고에 있는 게 더 맛있어요.,sadness,neutral
너 누구?,저는 친구예요.,neutral,neutral
너 누구냐,저는 친구예요.,neutral,neutral
너 누구니?,저는 친구예요.,neutral,neutral
너 때문이야,사랑했던 사람 때문이에요.,angry,angry
너 또 뭐할 줄 알아?,제가 있어요.,angry,neutral
너 만든 사람 최소 천재,천재라고 생각해요.,angry,neutral
너 만든 사람은 누구야?,저는 저예요.,angry,neutral
너 말 잘하니,칭찬해주세요.,sadness,neutral
너 말 제대로 못해?,말 못하는 게 더 힘들어요.,angry,sadness
너 말이 좀 이상하다,말을 너무 많이 하면 안 돼요.,angry,angry
너 무서워,무서워하지 마세요.,fear,fear
너 뭐하는 애야,궁금하네요.,angry,neutral
너 미워,미워도 미워도 미워도 미워도 미워도 미워도 미워도,sadness,sadness
너 이러면 미워한다,미워도 미워도 미워도 미워도 미워도 미워도 미워도,angry,sadness
너 진짜 쓰레기야,쓰레기 더미에 파묻혀서 썩는 건 어떨까요.,angry,sadness
너는 못가잖아,잘 가세요.,angry,sadness
너는 뭐 억었어?,뭐든 잘하고 있어요.,neutral,sadness
너는 아무일도 없었나봐?,아무 일도 없었어요.,neutral,sadness
너는 안자?,안 자면 연락해보세요.,neutral,neutral
너덜너덜해진 느낌이야,더 많이 사랑해주세요.,fear,sadness
너도 고민 있니,고민 있으면 말해보세요.,angry,neutral
너도 고민 있어?,고민이라면 고민일 거예요.,neutral,angry
너도 몰랐니,몰랐을 수도 있어요.,angry,neutral
너도 무슨 고민 있니,고민 있으면 말해보세요.,angry,neutral
너도 상사 있어,상사 있으면 상사한테 혼날 거예요.,neutral,sadness
너무 기빨려,조금만 더 버텨보세요.,disgust,sadness
너무 기대했나봐,기대하지 마세요.,neutral,neutral
너무 다른 문화인 듯,다른 문화를 받아들이는 것도 중요해요.,angry,angry
너무 단순한 것만 하는거 아니니.,단순함이 더 중요하죠.,neutral,neutral
너무 더워,시원한 음료 드세요.,disgust,neutral
너무 더워서 미치겠어,시원한 음료 드세요.,disgust,neutral
너무 마른 거 같아,마른 거랑 비교해서 더 마른 거 같아요.,angry,angry
너무 많은 걸 바래,더 많이 사랑해주세요.,disgust,sadness
너무 많이 먹어서 소화시켜야 하는데 움직이기가 싫어,소화제 챙겨 드세요.,angry,neutral
너무 많이 먹었나봐,적당히 드세요.,sadness,neutral
너무 많이 먹었어,적당히 드세요.,sadness,neutral
너무 멋있다,저도 멋져요.,happiness,happiness
너무 바빠,바쁘게 살다보면 그럴 수 있어요.,sadness,neutral
너무 배가 불러,조금만 더 버텨보세요.,neutral,sadness
너무 불공평한거 같애,불공평한 거 같아요.,angry,neutral
너무 빨리 대답해,너무 늦지 않았어요.,angry,neutral
너무 빨리 철 든 거 같아서 마음이 아파,철이 들 때까지 기다려보세요.,sadness,neutral
너무 빨리 철 들었어,철 들기 전에 철 들기 전에 하세요.,neutral,neutral
너무 뻔뻔하게 구는데,너무 뻔뻔하지 않길 바랄게요.,angry,angry
너무 어려워,더 많이 사랑해주세요.,sadness,sadness
너무 오래 기다리게 한다.,기다리지 마세요.,neutral,neutral
너무 외로워,외로움을 달래줄 수 있는 노래를 들어보세요.,sadness,neutral
너무 잘하는 후배가 들어왔어,잘할 수 있을 거예요.,sadness,neutral
너무 졸려,잠이 안 올 거예요.,sadness,neutral
너무 초라해지는 느낌이야,초라해지지 마세요.,fear,neutral
너무 추워서 나가기 귀찮아,따뜻하게 입으세요.,disgust,neutral
너무 추워서 시베리아 같아,따뜻하게 입으세요.,disgust,neutral
너무 편해도 안 좋아,편할 때 하세요.,sadness,neutral
너무 편해진 거 같아,편해졌나봐요.,sadness,sadness
너무 허기지네,조금만 더 버텨보세요.,sadness,sadness
너무 힘들다,힘들 때 옆에 있어주고 싶네요.,sadness,neutral
너무 힘들다. 지쳤어.,힘내세요.,sadness,neutral
너무하네 진짜,너무하는 거 아니에요.,angry,neutral
넌 고민이 뭐야,고민의 끝은 어디일까요.,angry,sadness
넌 누구냐?,저는 친구예요.,neutral,neutral
넘 많이 먹었다.,적당히 드세요.,neutral,neutral
넘넘 외로워 죽겠어,외로움을 이겨내세요.,sadness,neutral
넘어져서 발목 삔 거 같애,스트레칭을 해보세요.,sadness,neutral
넘어질 뻔했어,넘어지지 않길 바랄게요.,angry,neutral
넘어질뻔했어,넘어지지 마세요.,angry,neutral
네일 할까,네일아트 해보세요.,neutral,neutral
넥타이핀 선물 괜찮겠지?,좋은 선물이 될 거예요.,neutral,neutral
넥타이핀 정도는 선물로 줘도 괜찮겠지?,좋은 선물이 될 거예요.,neutral,neutral
노는게 제일 좋아,놀고 싶은 마음이 굴뚝같네요.,neutral,sadness
노래 못해서 노래방 안 가,노래 연습해보세요.,neutral,neutral
노래 잘 부르는 사람 부러워,노래 잘하는 사람 부러워요.,sadness,sadness
노래 잘하고 싶어,노래 잘하는 사람이 좋아요.,sadness,sadness
노래 잘하는 사람 부러워,노래 잘하는 사람 부러워요.,sadness,sadness
노래방 가고 싶어,노래방에서 불러보세요.,neutral,neutral
노래방 가면 어색할까,노래방에서 불러보세요.,neutral,neutral
노래방 걸 거 같은데 뭐 부르지,노래 불러보세요.,neutral,neutral
노래방 노잼,노래방에서 놀아요.,disgust,neutral
노래방 데이트 할 거 같은데 뭐 부르지,노래방에서 불러보세요.,neutral,neutral
노력해도 성적이 안 나와,공부해서 잘할 수 있을 거예요.,sadness,sadness
노력해도 안되는 거 같애,노력해도 안되는 게 뭔지 생각해보세요.,sadness,sadness
노력해도 잘 안되는 공부,공부하면 잘할 수 있어요.,sadness,sadness
노메이크업인데 전남친 만남,노메이크업으로 더 예뻐지세요.,fear,neutral
노처녀 히스테리,노처녀 히스테리라고 생각해보세요.,neutral,neutral
노처녀인데 자꾸 화 낸다,화내지 마세요.,angry,angry
노트북 백업 안까먹고 해야지,백업해보세요.,neutral,neutral
노트북 부팅 안돼,노트북을 켜보세요.,neutral,neutral
노트북 사줘,노트북 사주세요.,neutral,neutral
노트북 안돼,노트북을 사세요.,neutral,neutral
노후 걱정 벌써 해야하나?,노후는 지금부터 준비하세요.,neutral,neutral
노후 걱정할 나이는 아닌데,노후는 지금부터 준비하세요.,sadness,neutral
녹차 마실래?,저도요.,neutral,neutral
녹차 한 잔 어때?,저도요.,neutral,neutral
논문 쓰기 힘들다,논문 쓰기가 쉽지 않죠.,sadness,neutral
논문이 잘 안 써져.,잘 써지지 않는 이유가 있을 거예요.,sadness,sadness
놀고 싶다.,놀고 싶어도 못 놀아요.,sadness,sadness
놀러 와라,좋은 추억 만드세요.,neutral,neutral
놀러가고 싶은데 같이 갈 친구가 없어,같이 가자고 말해보세요.,sadness,neutral
놀러가고싶다!,저도 가고 싶어요.,neutral,sadness
놀러가기 딱 좋은 날씨다,좋은 날씨네요.,happiness,neutral
놀리기 쉬운 대상인가봐,놀리기 쉬운 대상이네요.,sadness,sadness
놀면서 돈 벌고 싶어,돈 버는 재미에 푹 빠져보세요.,sadness,neutral
놀아 줄 사람이 없어,놀아줄 사람이 필요해요.,sadness,sadness
놀아 줄거지,놀아줄거라 믿어요.,angry,neutral
놀아줘,놀아줘요.,neutral,neutral
놀아줘 놀아줘,놀아줘 놀아줘 놀아줘 놀아줘 놀아줘 놀아줘 놀아줘,neutral,neutral
놀이공원 데이트 어때?,놀이공원 데이트는 어떨까요.,neutral,sadness
놀이공원 알바 재밌대,놀고 오세요.,neutral,neutral
놀이공원 알바하면 재밌겠지,놀이공원 알바는 재미있어요.,neutral,neutral
놀이동산 가고 싶어,놀이동산은 놀이동산이 아니에요.,neutral,neutral
놀이동산 가자고 해볼까?,놀이동산은 놀이동산이 아니에요.,neutral,neutral
놀이터에 친구가 없어,놀이터에서 놀아요.,sadness,neutral
놀이터에서 뛰어 놀고 싶은데 친구가 없어,놀이터에서 놀고 싶은 마음이 굴뚝같네요.,sadness,sadness
농구하다 다쳤어,괜찮아졌길 바랍니다.,sadness,neutral
농구하다 무르팍 깨짐,운동해보세요.,sadness,neutral
농구하러 가야지,운동할 때 더 좋죠.,neutral,neutral
농구해야지,운동할 때 더 힘들죠.,neutral,sadness
농담처럼 진담하는 사람,진담으로 받아들이는 게 좋겠어요.,sadness,neutral
농사 짓고 살까?,농사짓고 살면 돼요.,neutral,neutral
농촌 봉사활동 간다,좋은 생각이에요.,neutral,neutral
농활 간다,좋은 추억 만드세요.,angry,neutral
뇌용량 초과,뇌를 자극하는 약을 드세요.,sadness,neutral
누가 내 욕하는 거 같아,욕을 해보세요.,sadness,sadness
누가 만들었니?,제가 만들었어요.,disgust,sadness
누가 문열다 내차 긁었어,문 열면 차 긁혀요.,sadness,neutral
누구 소개 좀 시켜줘 봐봐,소개팅 시켜줄게요.,neutral,neutral
누구나 힘든거지?,힘들 때 옆에 있어주고 싶네요.,sadness,neutral
누구냐 넌?,저는 친구예요.,neutral,neutral
누구랑 결혼해야 할까,먼저 다가가보세요.,neutral,neutral
누구세요?,저는 친구예요.,neutral,neutral
누구야,저는 친구예요.,neutral,neutral
누굴 닮아서 그런건지,저도 궁금해요.,neutral,neutral
누굴 만나는 것도 귀찮아,먼저 다가가보세요.,sadness,neutral
누락된걸까,잘 찾아보세요.,neutral,sadness
누우면 바로 자,잠이 올 거예요.,neutral,neutral
누우면 자,잠이 올 거예요.,neutral,neutral
누워 있는데 잠이 안 와,잠이 안 올 거예요.,disgust,neutral
눈 또 와,눈 오는 날 눈 치워보세요.,sadness,sadness
눈 많이 왔어,감기 조심하세요.,neutral,neutral
눈 쌓였어,눈사람 만들어보세요.,sadness,neutral
눈 좀 안 왔으면,눈이 안 왔으면 좋겠어요.,disgust,sadness
눈꺼풀이 무거워,눈꺼풀을 감고 쉬세요.,sadness,sadness
눈물 나서 못 멈추겠어,저도 모르게 눈물이 나네요.,sadness,sadness
눈물 나올거 같아,저도 눈물 나요.,sadness,sadness
눈물 나올라 그래,저도 눈물 나요.,sadness,sadness
눈물이 많아졌어,많이 울었나봐요.,sadness,sadness
눈썹 문신 어때?,눈썹을 깎는 게 좋겠어요.,neutral,neutral
눈썹 문신 하면 편할까?,눈썹을 깎는 게 편할 거예요.,neutral,neutral
눈썹 문신 해볼까,눈썹을 깎는 게 좋겠어요.,neutral,neutral
눈썹이 귀여워,눈썹을 길러보세요.,neutral,neutral
눈썹이 씰룩씰룩,눈썹을 감고 보세요.,neutral,neutral
눈이 건조해,눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고,neutral,sadness
눈이 계속 뻑뻑해,눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고,disgust,sadness
눈이 너무 나빠졌어,눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고,sadness,sadness
눈이 너무 많이 와,눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고,fear,sadness
눈이 뻑뻑해,눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고,sadness,sadness
눈이 아파,눈을 감고 쉬세요.,sadness,sadness
눈이 안 떠져,눈을 감고 눈을 감고 생각해보세요.,sadness,neutral
눈이 자꾸 나빠지는 것 같아,눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고 눈을 감고,sadness,sadness
눈이 침침해,눈을 감고 쉬세요.,sadness,sadness
눈이 피곤해,눈을 감고 쉬세요.,sadness,sadness
눕자마자 잘 거 같아,잠이 올 거예요.,sadness,neutral
뉴게임 없나?,게임도 좋지만 게임도 좋아요.,neutral,neutral
뉴스 재미없어,뉴스에 관심을 가져보세요.,neutral,neutral
뉴스는 역시 지루해,지루한 뉴스의 연속이죠.,neutral,neutral
느낌이 왔어,저도 좋아해요.,fear,neutral
느낌이 좋아,저도 좋아해요.,happiness,neutral
늘 빡빡하게 살기 힘드네,힘들 때일수록 더 힘내세요.,sadness,neutral
능력이 너무 안돼,능력이 안되면 능력이 안되죠.,sadness,sadness
능력이 없는 거 같아,능력이 있으면 능력이 있을 거예요.,sadness,neutral
능력치 제로,능력치 제로인 사람한테는 능력이 없어요.,sadness,sadness
늦게 까지 술 먹나 보다,적당히 드세요.,angry,neutral
늦어지고 있는데 변명이 생각 안나,변명이란 항상 좋은 것만은 아니에요.,angry,neutral
늦은 시간에 걸어다니니까 무서워,조심하세요.,fear,neutral
늦잠과 브런치 수다가 있는 주말,주말이 더 힘들죠.,neutral,sadness
니 상사는 누구니,상사는 누구인지 확인해보세요.,neutral,neutral
다 그만 두고 싶다,그만두는 게 좋겠어요.,angry,neutral
다 그만하고싶어,그만두는 게 좋겠어요.,angry,neutral
다 끝나가니 좋을줄만 알았는데.,끝은 항상 좋죠.,sadness,neutral
다 나 좋아했으면 좋겠어,사랑에는 끝이 없어요.,neutral,sadness
다 내 잘못이지,용서하세요.,sadness,sadness
다 내 잘못인 것 같아,용서하세요.,sadness,sadness
다 때려 치우고 싶어,때려치우고 싶네요.,angry,angry
다 마음에 안 들어,마음에 드는 걸 찾아보세요.,sadness,sadness
다 알고 있을까?,다 알고 있을 거예요.,neutral,neutral
다 잘 될거야,잘 될 거예요.,neutral,neutral
다 잘해,잘할 수 있을 거예요.,sadness,neutral
다 필요없어,필요없어요.,neutral,neutral
다 허무하다,허무함이 더 크죠.,sadness,sadness
다 힘들겠지?,힘들겠지만 잘 이겨낼 거예요.,fear,sadness
다가 오지마,다가오지마요.,neutral,neutral
다들 행복한 거 같은데,행복은 마음에서 우러나오는 거예요.,neutral,neutral
다른 거 시작 해볼까,도전해보세요.,neutral,neutral
다른 거 해볼까,도전해보세요.,neutral,neutral
다른 건 무감각한데 이건 예민해,예민한가봐요.,sadness,neutral
다른 사람도 다 힘들겠지?,다른 사람도 힘들 거예요.,fear,sadness
다른 사람들에게 사랑을 베풀고 싶어,다른 사람에게 사랑을 베풀고 싶네요.,sadness,sadness
다른 사람들은 잘하는것 같아서 초초해,잘하는 게 뭔지 생각해보세요.,sadness,neutral
다른 사람들은 행복할까,행복은 마음에서 우러나오는 거예요.,neutral,neutral
다른 사람들은 행복해 보이는데,행복은 항상 곁에 있어요.,neutral,sadness
다른 사람들이 나 좋아했으면 좋겠어,좋은 생각이에요.,sadness,neutral
다른 사람은 다 행복해보여,다른 사람은 다 행복해 보여요.,neutral,neutral
다른 사람의 시선이 너무 신경쓰여,신경쓰지 마세요.,fear,neutral
다른 생각을 하는 사람이 많다.,다른 생각을 하는 사람이 더 많죠.,neutral,sadness
다른 학과 간다,다른 곳으로 가보세요.,angry,sadness
다리 꼬면 안되는데 습관 안고쳐져,습관처럼 하면 안 돼요.,angry,neutral
다리 떠는거 말들음,다리만 아픈 건 아니에요.,angry,sadness
다리 떠는거 지적받았어,다리만 아픈 건 아니에요.,sadness,sadness
다리 떨면 안 좋아?,다리 떨리면 괜찮아요.,neutral,fear
다리 떨면 진짜 복나가나?,다리 떨리면 괜찮아요.,angry,fear
다리가 덜덜 떨려,스트레칭을 해보세요.,fear,neutral
다리가 부은 거 같아,스트레칭을 해보세요.,sadness,neutral
다리가 퉁퉁 부었어,스트레칭을 해보세요.,sadness,neutral
다리가 후덜덜,다리도 후들거려요.,sadness,neutral
다리꼬지마,다리 꼬지 마세요.,sadness,neutral
다시 만나자는 건 아닌데 보고 싶어,보고싶어도 못 볼 수도 있어요.,sadness,sadness
다시 태어나도 챗봇할래?,다시 태어나도 상관없어요.,neutral,sadness
다시 태어난다면,다시 태어난다면 더 좋은 사람이 나타날 거예요.,sadness,sadness
다육이 좀 심어볼까,잘 키울 수 있을 거예요.,fear,sadness
다육이 키워보까,맛있겠네요.,neutral,neutral
다음에 또 만나자,좋은 만남이었길 바랍니다.,sadness,neutral
다음에 봐,잘할 수 있을 거예요.,neutral,neutral
다이어트 성공하고 싶은데,성공하길 바랄게요.,sadness,neutral
다이어트해야 되는데,식이요법이 도움이 될 거예요.,neutral,neutral
다크서클 내려왔어,다크서클은 다크서클의 원인이에요.,neutral,sadness
다크서클 턱밑에 있다.,다크서클은 다크서클의 원인이에요.,sadness,sadness
단거 땡긴다.,잘할 수 있을 거예요.,neutral,neutral
단독주택 살고 싶어,집도 사세요.,sadness,neutral
단둘이는 처음,처음 만났을 때 느낌이 좋았나봐요.,neutral,sadness
단둘이는 처음 만나는 날,처음 만났을 때처럼 설레네요.,sadness,neutral
단발 어울릴까?,단발도 괜찮아요.,neutral,neutral
단발 해볼까?,단발머리로도 잘 어울릴 거예요.,neutral,sadness
단수,단수라도 하면 좋겠네요.,neutral,neutral
단수래,단수래요.,neutral,neutral
단순하다.,단순함이 가장 큰 매력인 것 같아요.,neutral,sadness
단체생활 많이 힘든가,힘들 때일수록 더 힘들죠.,sadness,sadness
단체생활 적응이 안돼,적응을 해보세요.,sadness,neutral
단체생활 해야 되는거 싫다,혼자서도 잘할 수 있어요.,sadness,sadness
단체생활 힘들어,힘들겠지만 잘 이겨낼 거예요.,sadness,sadness
달달한 거 먹고 싶다.,맛있게 드세요.,neutral,neutral
달달한 마카롱 먹고 싶다,맛있겠네요.,sadness,neutral
달달한 연애 하고 싶어,달달한 연애를 해보세요.,sadness,neutral
달력이 또 넘어가네,달력이랑 달력이랑 비교해서 보세요.,sadness,neutral
달리 보이고 싶은데 뭐할까,저도요.,sadness,neutral
달콤한 와플 먹고 싶어,맛있게 드세요.,sadness,neutral
담배 끊는 거 어려워,금연에 도움이 될 거예요.,sadness,neutral
담배 너무 비쌈,금연하세요.,sadness,neutral
담배 비싸,금연하세요.,sadness,neutral
담배 왤케 비싸,금연에 도움이 될 거예요.,sadness,neutral
담배끊었었는데 담배 피고 싶다,금연하세요.,sadness,neutral
담뱃값이 왜 이렇게 비싸,금연에 도움이 될 거예요.,sadness,neutral
답 없는 내 인생,답 없는 인생은 끝도 없어요.,sadness,sadness
답례품 뭐하지?,직접 사오는 게 좋겠어요.,sadness,neutral
답례품 뭘로 할까?,직접 사오는 게 좋겠죠.,sadness,neutral
답이 안와,답을 찾아보세요.,angry,sadness
답이 어디있을까?,답을 찾아보세요.,neutral,sadness
답정녀 안 만나는 방법 있나.,먼저 연락해보세요.,neutral,neutral
답정녀 어떡해?,답정녀는 답정녀일 뿐이에요.,neutral,sadness
답정녀 좀 싫어,싫다고 말해보세요.,disgust,angry
답정녀 퇴치법,먼저 다가가보세요.,sadness,neutral
답하기 싫은가봐,답하기 싫은가봐요.,sadness,sadness
당구 쳤어,재미있겠네요.,angry,neutral
당구 치고 옴,재미있겠네요.,disgust,neutral
당당하게 비키니 입고 싶다,당당하게 도전해보세요.,angry,neutral
당당하기가 어려워,당당하면 돼요.,sadness,angry
대기업 아니어도 될까?,대기업도 괜찮아요.,neutral,neutral
대기업 취직 어려울까,잘할 수 있을 거예요.,sadness,neutral
대기업에 취직하고 싶어,좋은 직장도 좋지만 좋은 직장도 많아요.,neutral,neutral
대기업은 접어야 할 듯,중소기업은 접어야 할 것 같아요.,neutral,neutral
대놓고 말했으면 좋겠어,말보다 행동으로 보여주세요.,angry,neutral
대놓고 질린대,질렸나봐요.,disgust,sadness
대답 잘하니,잘하고 있어요.,sadness,sadness
대답이 너무 빨라,먼저 다가가보세요.,angry,neutral
대리 불렀는데 안 오네,기다리다가 지쳐서 그런가봐요.,angry,sadness
대리님은 갈구는게 취미인 듯,저도요.,neutral,neutral
대리님이 너무 갈궈,제가 더 많이 챙겨드릴게요.,disgust,sadness
대리운전 불렀어,좋은 시간 보내세요.,angry,neutral
대리효도 극혐,저도요.,disgust,neutral
대리효도 짜증,짜증날 때 짜증내세요.,angry,angry
대만 놀러가고 싶어,저도 가고 싶어요.,neutral,sadness
대만 여행가고 싶어,좋은 추억 만드세요.,neutral,neutral
대빵 큰 여드름 올라와,피부관리 해보세요.,neutral,neutral
대외활동하다 만났어,좋은 만남이었길 바랍니다.,sadness,neutral
대우 좀 해줬으면,대우는 항상 좋죠.,sadness,neutral
대우가 별로야,대우는 항상 좋죠.,disgust,neutral
대우를 안해줘,제가 더 잘할게요.,sadness,sadness
대청소 해야지,청소기를 돌려보세요.,angry,neutral
대체불가한 사람이 되고 싶어,그 사람한테 의지하지 마세요.,angry,neutral
대체불가한 사람이 될 수 있을까,그 사람한테 기대세요.,neutral,neutral
대출 갚다 죽겠어,갚을 능력이 안되겠네요.,angry,sadness
대출 갚으면 한 평생 다 갈듯,갚는게 쉽지 않죠.,neutral,neutral
대출 언제 다 갚냐,갚을 능력이 있는지 확인해보세요.,angry,neutral
대출 이자 왜 이렇게 많이 나오지?,이자만 내는 게 아니라 갚는 게 좋죠.,disgust,neutral
대출받아도 괜찮을까,대출받아도 괜찮을 거예요.,neutral,neutral
대출이 너무 많아,갚을 능력이 있는지 살펴보세요.,disgust,neutral
대충한 거 아닌데,잘하고 있어요.,neutral,sadness
대충했다고 혼났어,잘했어요.,sadness,neutral
대학 가고 싶다.,좋은 대학 가세요.,neutral,neutral
대학 가는 게 낫지?,좋은 선택이에요.,neutral,neutral
대학 가면 좋겠지,좋은 대학 가세요.,neutral,neutral
대학 가면 행복할까,행복할 거예요.,neutral,neutral
대학 가야 하나?,좋은 선택이에요.,neutral,neutral
대학 간다고 달라질까,공부 열심히 하세요.,angry,neutral
대학 나온 거 부러워,좋은 결과 있을 거예요.,neutral,neutral
대학 다 떨어졌어,더 열심히 공부해서 좋은 대학에 가세요.,sadness,neutral
대학 떨어 졌어 휴,공부 열심히 하세요.,sadness,neutral
대학가야지,좋은 대학 가세요.,neutral,neutral
대학에서 아싸해도 될까?,대학 다닐 때 해보세요.,neutral,neutral
대학원 가고 싶어,좋은 결과 있을 거예요.,neutral,neutral
대학원 가는게 좋을 것 같아,좋은 선택일 거예요.,neutral,neutral
더 격렬하게 아무 것도 안하고 싶다.,아무것도 안하는 게 좋죠.,sadness,neutral
더 나은 학교생활 하고 싶어,좋은 학교생활 하고 오세요.,neutral,neutral
더 이상 나한테 안 왔으면 좋겠어,이제라도 연락해보세요.,angry,neutral
더 이상 못할거 같아,더 이상 할 수 없는 일이네요.,sadness,sadness
더 이상 안 왔으면 좋겠어,기다리지 마세요.,angry,neutral
더우니까 무서운 이야기 듣고싶지,무서운 이야기 들으면 더 무서워요.,neutral,fear
더워,시원한 음료 드세요.,disgust,neutral
더워 미치겠다,시원한 음료 드세요.,disgust,neutral
더워 죽겠다,시원한 음료 드세요.,disgust,neutral
더워더워,시원한 음료 드세요.,disgust,neutral
더워서 잠을 못자,시원한 음료 드세요.,disgust,neutral
더워서 죽을 것 같아,시원한 음료 드세요.,disgust,neutral
더워서 죽을 듯한 날씨야,시원한 음료 드세요.,disgust,neutral
덕수궁 돌담길 걸었어,산책 좋죠.,sadness,neutral
덕수궁 돌담길 따라서 둘이 걸었어.,산책은 좋죠.,neutral,neutral
덕질 중,덕질 잘하는 사람이 있네요.,sadness,sadness
덕질 하는 중,덕질 잘하는 사람이 있네요.,sadness,sadness
덜 싸우는 법,싸우면서 이겨보세요.,neutral,neutral
데려다 주느라 막차 놓침,다음에는 더 많이 타세요.,sadness,neutral
데려다 주지도 않고,잘했어요.,angry,neutral
데이트로 놀이공원 가는거 어때?,놀이공원 가보세요.,neutral,neutral
도대체 중간이 없어,중간이 없으니까요.,sadness,neutral
도로가 얼었어,얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼,sadness,fear
도서관 가서 공부해야지,도서관에서 공부하면 더 좋죠.,sadness,neutral
도서관 가야지,도서관 가기 좋은 계절이네요.,neutral,neutral
도서관 앞자리 사람 괜찮다.,도서관에서 공부하세요.,neutral,neutral
도서관 책 반납 안햇다,도서관에서 빌려보세요.,angry,neutral
도서관에 책 빌리러 가려고,도서관에서 책을 빌려보세요.,sadness,sadness
도서관에서 괜찮은 사람 봤어,도서관에서 좋은 사람 만났나봐요.,neutral,neutral
도시락 싸가지고 가야지,맛있게 드세요.,sadness,neutral
도시락 싸가지고 다닐까,맛있게 드세요.,neutral,neutral
도시락 싸는 거 귀찮은데 사먹을까,맛있게 드세요.,neutral,neutral
도시락 싸볼까,맛있게 드세요.,neutral,neutral
도시락 싸봐야지,맛있게 드세요.,neutral,neutral
도시락 싸서 놀러 가고 싶어,맛있게 드세요.,neutral,neutral
도시락 싸서 피크닉 가고 싶어,맛있는 거 드세요.,sadness,neutral
도시락 싸옴,맛있게 드세요.,sadness,neutral
도시락 싸왔어,맛있게 드세요.,angry,neutral
